link,title,category,latitude,longitude,address
https://www.google.com/maps/place/%C4%90an+Ph%C6%B0%E1%BB%A3ng+General+Hospital/data=!4m7!3m6!1s0x3134566eb14f8b8d:0x20312d1bdc58b0f6!8m2!3d21.0872207!4d105.6711223!16s%2Fg%2F1hc32tt08!19sChIJjYtPsW5WNDER9rBY3BstMSA?authuser=0&hl=en&rclk=1,Đan Phượng General Hospital,General hospital,21.087221,105.671122,"3MPC+VCQ Đan Phượng General Hospital, Tân Hội, Đan Phượng, Hà Nội 100000"
https://www.google.com/maps/place/Hoai+Duc+General+Hospital/data=!4m7!3m6!1s0x3134543077ded017:0x2c39cc23229c7b4e!8m2!3d21.0562558!4d105.7015714!16s%2Fg%2F11gzq4dfm!19sChIJF9DedzBUNDERTnucIiPMOSw?authuser=0&hl=en&rclk=1,Hoai Duc General Hospital,General hospital,21.056256,105.701571,"Thôn Lũng Kênh, Đức Giang, Hoài Đức, Hà Nội"
https://www.google.com/maps/place/CTY+CP+NOI+THAT+TIEN+PHONG/data=!4m7!3m6!1s0x3135ada3333f4e51:0xb4be91cec36a6cd6!8m2!3d20.9427377!4d105.8407014!16s%2Fg%2F11jp1x9svg!19sChIJUU4_M6OtNTER1mxqw86RvrQ?authuser=0&hl=en&rclk=1,CTY CP NOI THAT TIEN PHONG,General hospital,20.942738,105.840701,"111 Đ. Phan Trọng Tuệ, Văn Điển, Thanh Trì, Hà Nội"
https://www.google.com/maps/place/Polyclinic+Hospital+Khoai+Chau+Province/data=!4m7!3m6!1s0x3135ba746aaaaaab:0x7d465d3a0f6e4a05!8m2!3d20.8413242!4d105.9795732!16s%2Fg%2F11clfh9tw0!19sChIJq6qqanS6NTERBUpuDzpdRn0?authuser=0&hl=en&rclk=1,Polyclinic Hospital Khoai Chau Province,Medical Center,20.841324,105.979573,"RXRH+GRG Polyclinic Hospital Khoai Chau Province, Thị Trấn Khoái Châu, Huyện Khoái Châu, An Vĩ, Khoái Châu, Hưng Yên"
https://www.google.com/maps/place/doanh+nghiep+t%C6%B0+nh%C3%A2n/data=!4m7!3m6!1s0x3134555e27b2b80f:0xd65253c6162d74c9!8m2!3d21.0712669!4d105.7764479!16s%2Fg%2F11jpw3fzw5!19sChIJD7iyJ15VNDERyXQtFsZTUtY?authuser=0&hl=en&rclk=1,doanh nghiep tư nhân,General hospital,21.071267,105.776448,"9 P. Viên, Cổ Nhuế, Bắc Từ Liêm, Hà Nội"
https://www.google.com/maps/place/Thuong+Tin+Hospital/data=!4m7!3m6!1s0x3135b2335176f44d:0xceb8ef8f5ed3b590!8m2!3d20.8676317!4d105.859078!16s%2Fg%2F11xjbv9f_!19sChIJTfR2UTOyNTERkLXTXo_vuM4?authuser=0&hl=en&rclk=1,Thuong Tin Hospital,General hospital,20.867632,105.859078,"115 P. Nguyễn Phi Khanh, TT. Thường Tín, Thường Tín, Hà Nội"
https://www.google.com/maps/place/B%E1%BB%87nh+vi%E1%BB%87n+%C4%90a+khoa+Ph%E1%BB%91+N%E1%BB%91i/data=!4m7!3m6!1s0x3135a48716f7d879:0xb16ef278e240795f!8m2!3d20.9407102!4d106.0568525!16s%2Fg%2F1tff9ny3!19sChIJedj3FoekNTERX3lA4njybrE?authuser=0&hl=en&rclk=1,Bệnh viện Đa khoa Phố Nối,General hospital,20.94071,106.056852,"TT. Bần Yên Nhân, Mỹ Hào, Hưng Yên"
https://www.google.com/maps/place/Phu+Xuyen+Hospital/data=!4m7!3m6!1s0x3135b62f28aff70f:0xd2f894f0491241a1!8m2!3d20.729694!4d105.9144424!16s%2Fg%2F11b682t205!19sChIJD_evKC-2NTERoUESSfCU-NI?authuser=0&hl=en&rclk=1,Phu Xuyen Hospital,General hospital,20.729694,105.914442,"PWH7+VQG Phu Xuyen Hospital, QL1A, TT. Phú Xuyên, Phú Xuyên, Hà Nội"
https://www.google.com/maps/place/Hospital+74/data=!4m7!3m6!1s0x3134fc166895d451:0x939298c4ae7af924!8m2!3d21.2217375!4d105.7095981!16s%2Fg%2F1tlqmfy2!19sChIJUdSVaBb8NDERJPl6rsSYkpM?authuser=0&hl=en&rclk=1,Hospital 74,General hospital,21.221737,105.709598,"6PC5+FH2 Hospital 74, Triệu Thị Khoan Hòa, Phường Hùng Vương, Phúc Yên, Vĩnh Phúc"
https://www.google.com/maps/place/Dong+Da+General+Hospital/data=!4m7!3m6!1s0x3135ab7f2d65d68d:0xfc36f119646749c6!8m2!3d21.0155443!4d105.827184!16s%2Fg%2F11bxfzv34n!19sChIJjdZlLX-rNTERxklnZBnxNvw?authuser=0&hl=en&rclk=1,Dong Da General Hospital,General hospital,21.015544,105.827184,"192 Ng. 180 P. Nguyễn Lương Bẳng, Quang Trung, Đống Đa, Hà Nội"
https://www.google.com/maps/place/B%E1%BB%87nh+vi%E1%BB%87n+%C4%90a+khoa+Khu+V%E1%BB%B1c+Ph%C3%BAc+Y%C3%AAn/data=!4m7!3m6!1s0x3134fc6bb268badf:0xf269d86ff4769140!8m2!3d21.2329169!4d105.7082836!16s%2Fg%2F1tdnbqhg!19sChIJ37posmv8NDERQJF29G_YafI?authuser=0&hl=en&rclk=1,Bệnh viện Đa khoa Khu Vực Phúc Yên,General hospital,21.232917,105.708284,"Tổ 1, Phúc Yên, Vĩnh Phúc 283570"
https://www.google.com/maps/place/Hanoi+Heart+Hospital/data=!4m7!3m6!1s0x3135ab911e785029:0x90e43f2936ff4db1!8m2!3d21.0236186!4d105.8438683!16s%2Fg%2F1tj1jzq4!19sChIJKVB4HpGrNTERsU3_Nik_5JA?authuser=0&hl=en&rclk=1,Hanoi Heart Hospital,Heart hospital,21.023619,105.843868,"92 Trần Hưng Đạo, Cửa Nam, Hoàn Kiếm, Hà Nội"
https://www.google.com/maps/place/Agriculture+General+Hospital+2/data=!4m7!3m6!1s0x3135ab7c53cc682b:0xf002ec2885dbc213!8m2!3d21.0135525!4d105.8210582!16s%2Fg%2F11c5_90w7f!19sChIJK2jMU3yrNTERE8LbhSjsAvA?authuser=0&hl=en&rclk=1,Agriculture General Hospital 2,General hospital,21.013552,105.821058,"16 Ng. 183 Đặng Tiến Đông, Trung Liệt, Đống Đa, Hà Nội"
https://www.google.com/maps/place/Trung+T%C3%A2m+C%E1%BA%A5p+C%E1%BB%A9u+B%E1%BB%87nh+vi%E1%BB%87n+%C4%90a+khoa+Xanh+P%C3%B4n/data=!4m7!3m6!1s0x3135ab98a6794dfd:0x9b0618cc1f668256!8m2!3d21.0311949!4d105.8360739!16s%2Fg%2F11hylcyq3g!19sChIJ_U15ppirNTERVoJmH8wYBps?authuser=0&hl=en&rclk=1,Trung Tâm Cấp Cứu Bệnh viện Đa khoa Xanh Pôn,General hospital,21.031195,105.836074,"59 P. Trần Phú, Điện Biên, Hoàn Kiếm, Hà Nội"
https://www.google.com/maps/place/H%E1%BB%99i+Ph%E1%BA%ABu+thu%E1%BA%ADt+N%E1%BB%99i+soi+v%C3%A0+N%E1%BB%99i+soi+Vi%E1%BB%87t+Nam/data=!4m7!3m6!1s0x3135ab96817aaaab:0x87a619de3ce646ff!8m2!3d21.0278086!4d105.8464144!16s%2Fg%2F11j_bydgnx!19sChIJq6p6gZarNTER_0bmPN4Zpoc?authuser=0&hl=en&rclk=1,Hội Phẫu thuật Nội soi và Nội soi Việt Nam,General hospital,21.027809,105.846414,"40 P. Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội"
https://www.google.com/maps/place/108+Military+Central+Hospital/data=!4m7!3m6!1s0x3135abee2cabbe6f:0xa87d18d26d9dc536!8m2!3d21.0182483!4d105.8603511!16s%2Fm%2F02vtpcy!19sChIJb76rLO6rNTERNsWdbdIYfag?authuser=0&hl=en&rclk=1,108 Military Central Hospital,Hospital,21.018248,105.860351,"1B Trần Hưng Đạo, Bạch Đằng, Hai Bà Trưng, Hà Nội"
https://www.google.com/maps/place/Khoa+Ngo%E1%BA%A1i+t%E1%BB%95ng+h%E1%BB%A3p_B%E1%BB%87nh+vi%E1%BB%87n+B%E1%BA%AFc+th%C4%83ng+long/data=!4m7!3m6!1s0x313501ecd0b6016d:0xe2d285f644ea9f69!8m2!3d21.1611147!4d105.8495924!16s%2Fg%2F11flgfxxc8!19sChIJbQG20OwBNTERaZ_qRPaF0uI?authuser=0&hl=en&rclk=1,Khoa Ngoại tổng hợp_Bệnh viện Bắc thăng long,General hospital,21.161115,105.849592,"Tổ 18 tầng 2 nhà B, Đông Anh, Hà Nội"
https://www.google.com/maps/place/B%E1%BB%87nh+Vi%E1%BB%87n+Ph%E1%BB%A5+S%E1%BA%A3n+Trung+%C6%AF%C6%A1ng/data=!4m7!3m6!1s0x3135ab941f784ea1:0x389e724d7b6fe803!8m2!3d21.0269789!4d105.8466583!16s%2Fg%2F11cfjryc2!19sChIJoU54H5SrNTERA-hve01ynjg?authuser=0&hl=en&rclk=1,Bệnh Viện Phụ Sản Trung Ương,Hospital,21.026979,105.846658,"43 P. Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội"
https://www.google.com/maps/place/Duke+University+Hospital/data=!4m7!3m6!1s0x89ace6ad0276d4d9:0x795843b4ea34bb3!8m2!3d36.0075097!4d-78.9384272!16zL20vMDdkdzN5!19sChIJ2dR2Aq3mrIkRs0ujTjuElQc?authuser=0&hl=en&rclk=1,Duke University Hospital,University hospital,36.00751,-78.938427,"Duke Univ Hospital, 2301 Erwin Rd, Durham, NC 27710, United States"
https://www.google.com/maps/place/United+Christian+Hospital/data=!4m7!3m6!1s0x340406ad58aab66b:0xb10e3fa4a2ef0fac!8m2!3d22.323232!4d114.2270078!16zL20vMGdfbG56!19sChIJa7aqWK0GBDQRrA_voqQ_DrE?authuser=0&hl=en&rclk=1,United Christian Hospital,General hospital,22.323232,114.227008,"130 Hip Wo St, Kwun Tong, Hong Kong"
https://www.google.com/maps/place/Hoa+Sen+Trang+Pharma+Joint+Stock+Company/data=!4m7!3m6!1s0x3134e55ed6d61f47:0x3738887c23601909!8m2!3d21.3276955!4d105.5976208!16s%2Fg%2F1pzvbhvy3!19sChIJRx_W1l7lNDERCRlgI3yIODc?authuser=0&hl=en&rclk=1,Hoa Sen Trang Pharma Joint Stock Company,General hospital,21.327696,105.597621,"51, Đường Chùa Hà, Xã Định Trung, Định Trung, Vĩnh Yên, Vĩnh Phúc"
https://www.google.com/maps/place/Queen+Elizabeth+Hospital/data=!4m7!3m6!1s0x340400c26b2871b5:0xe0cd63796b5dfdaa!8m2!3d22.3091816!4d114.1743747!16zL20vMDhiem02!19sChIJtXEoa8IABDQRqv1da3ljzeA?authuser=0&hl=en&rclk=1,Queen Elizabeth Hospital,Government hospital,22.309182,114.174375,"30 號 Gascoigne Rd, Yau Ma Tei, Hong Kong"
https://www.google.com/maps/place/354+Military+Hospital/data=!4m7!3m6!1s0x3135ab1159bbab07:0x4005ba5f5e08969a!8m2!3d21.0400408!4d105.8120137!16s%2Fg%2F122l8fmt!19sChIJB6u7WRGrNTERmpYIXl-6BUA?authuser=0&hl=en&rclk=1,354 Military Hospital,Military hospital,21.040041,105.812014,"120 P. Đốc Ngữ, Vĩnh Phú, Ba Đình, Hà Nội"
https://www.google.com/maps/place/University+Hospital/data=!4m7!3m6!1s0x87dcb7bbe82dfbb1:0xf3e09aceaa58612d!8m2!3d38.9385546!4d-92.3274421!16s%2Fm%2F02qnw9k!19sChIJsfst6Lu33IcRLWFYqs6a4PM?authuser=0&hl=en&rclk=1,University Hospital,Hospital,38.938555,-92.327442,"Univ Hospital, 1 Hospital Dr, Columbia, MO 65212, United States"
https://www.google.com/maps/place/B%E1%BB%87nh+vi%E1%BB%87n+Vi%E1%BB%87t+%C4%90%E1%BB%A9c/data=!4m7!3m6!1s0x3135abbbc8155c4d:0x2dbd68dc4c6af657!8m2!3d21.0277587!4d105.8463794!16s%2Fm%2F02r2dwp!19sChIJTVwVyLurNTERV_ZqTNxovS0?authuser=0&hl=en&rclk=1,Bệnh viện Việt Đức,Hospital,21.027759,105.846379,"40 P. Tràng Thi, Hàng Bông, Hoàn Kiếm, Hà Nội"
https://www.google.com/maps/place/Bumrungrad+International+Hospital/data=!4m7!3m6!1s0x30e29ee677aa7f5b:0xf8a8de865c2e8a77!8m2!3d13.746066!4d100.5526867!16zL20vMGgxM2Rs!19sChIJW3-qd-ae4jARd4ouXIbeqPg?authuser=0&hl=en&rclk=1,Bumrungrad International Hospital,Private hospital,13.746066,100.552687,"33 Soi Sukhumvit 3, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand"
